Countries,CB 1,CB 2,CB 3,NP 1,NP 2,NS 1,NS 2,MT 1,RS 1,RS 2,FC 1,CC 1,CC 2,CC 3,AT 1,AT 2,Special Case,Footnote,Footnote,Footnote,Footnote,Footnote,Footnote
Luxembourg 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Macau,X,X,X,X,X,X,X,X,X,X,,X,X,X,,,,,,,,,
Madagascar,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Malawi,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Malaysia,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Maldives,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Mali,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Malta 2 3 4,X,,,,,X,X,X,X,X,,X,X,X,,,,See § 742.4(a) for special provisions that apply to exports and reexports to these countries of certain thermal imaging cameras.,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,See § 742.6(a)(2) and (4)(ii) regarding special provisions for exports and reexports of certain thermal imaging cameras to these countries.,,,
Marshall Islands,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Mauritania,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Mauritius,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Mexico,X,,,,,X,,X,X,,X,X,X,X,,,,,,,,,
Micronesia (Federated State of),X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Micronesia  Federated States of,,,,,,,,,,,,,,,,,,,,,,,
Moldova,X,X,X,X,,X,X,X,X,X,,X,X,,,,,,,,,,
Monaco,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Mongolia,X,X,X,X,,X,X,X,X,X,,X,X,,,,,,,,,,
Montenegro,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Morocco,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Mozambique,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Namibia,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Nauru,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Nepal,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Netherlands 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
New Zealand 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Nicaragua,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Niger,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Nigeria,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
North Macedonia,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Norway 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Oman,X,X,X,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Pakistan 8,X,X,X,X,X,X,X,X,X,X,,X,X,X,,,,See § 746.6 of the EAR for additional license requirements for exports and reexports to the Crimea region of Ukraine and the so-called Donetsk People's Republic (DNR) and Luhansk People's Republic (LNR) regions of Ukraine and transfers (in-country) within the Crimea  DNR  and LNR regions of Ukraine for all items subject to the EAR  other than food and medicine designated as EAR99 and certain EAR99 or ECCN 5D992.c software for internet-based communications.,,,,,
Palau,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Panama,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Papua New Guinea,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Paraguay,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Peru,X,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Philippines,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Poland 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Portugal 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Qatar,X,X,X,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Romania 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Russia 6,X,X,X,X,X,X,X,X,X,X,,X,X,,,,,See § 746.5 of the EAR for additional license requirements under the Russian Industry Sector Sanctions for ECCNs 0A998  1C992  3A229  3A231  3A232  6A991  8A992  and 8D999 and items identified in supplement no. 2 to part 746 of the EAR. See § 746.8 of the EAR for Sanctions against Russia and Belarus  including additional license requirements for items listed in any ECCN on the CCL.,,,,,
Rwanda,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Saint Kitts & Nevis,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,
Samoa,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
San Marino,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Sao Tome & Principe,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Saudi Arabia,X,X,X,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Senegal,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Serbia,X,X,,,,X,X,X,X,X,,X,X,X,,,,,,,,,
Seycheles,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Seychelles,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Sierra Leone,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Singapore,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Sint Maarten (the Dutch two-fifths of the island of Saint Martin),X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Slovakia 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Slovenia 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
Solomon Islands,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Somalia 1,X,X,,X,,X,X,X,X,X,,X,X,X,,,,See § 746.1(b) for United Nations Security Council Sanctions under the EAR. See § 746.3 for United Nations Security Council-related license requirements for exports and reexports to Iraq or transfer within Iraq under the EAR  as well as regional stability licensing requirements not included in the Country Chart.,,,,,
South Africa 2 3 4,X,X,,,,X,,X,X,,,X,X,X,,,,See § 742.4(a) for special provisions that apply to exports and reexports to these countries of certain thermal imaging cameras.,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,See § 742.6(a)(2) and (4)(ii) regarding special provisions for exports and reexports of certain thermal imaging cameras to these countries.,,,
South Sudan  Republic of,X,X,,X,,X,X,X,X,X,,X,X,X,,,,,,,,,
Spain 3,X,,,,,X,,X,X,,,,X,,,,,See § 742.6(a)(3) for special provisions that apply to military commodities that are subject to ECCN 0A919.,,,,,
